"HITID","name","intro","gender","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3EHIMLB7F7ENKAUWXIMOXOAMHDY8HL","无盐妖娆","一句话简介：  一：进化成美人之前，她以智慧求生！  二：凭三寸不烂之舌求一席之地，施纵横权谋之术领战国风云。  详细简介：  她穿越到一个类似春秋古国的世界，在这里，一切的文明刚刚展现它奇丽的色彩。  长相丑陋，身份低下的女主，突然发现生存变成一件无比艰难的事。于是，她隐忍，坚强，她小心地寻找机会。  以智慧求生，行说客之事，走纵横之路，淡定而卑微的女主的人生越来越精彩，她也越变越美。  （本书不会有剽窃前人知识欺负古人的情节）  ***  《绝色天医》《末路狼王》旧坑在填，掉进坑中的各位可以松口气了，呵呵。","female","A2WGW5Y3ZFBDEC","女性读者","A8TIL9U6YHG5","男、女读者都可以","No","no_agreement","2018-02-04 21:15:23 UTC"
"388FBO7JZR8U9C7PDKFV1LVKW49NYM","御夫手册","身为正妻却不被夫婿待见，站是错，坐是错，就连打个喷嚏都“包藏祸心”……  嘿，姑奶奶还不伺候了，咱后会无期！  婆婆，您拉我干嘛？不怕我故意捣乱，弄得家宅不宁？  ——*——*——  小醉新书《医路妖娆》：防火防盗防表哥，行医谈情种药田~  欢迎移步试阅O(∩_∩)O~","female","A2WGW5Y3ZFBDEC","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:14:59 UTC"
"3JAOYN9IHLHMP5HR6G2Q2D11IMO33H","老婆爱上我","泡妞的最高境界是泡老婆！  特种兵王刘青和新婚妻子，从陌生如何一步一步走向彼此信任，其中的精彩纷呈任君品尝！","male","A8TIL9U6YHG5","男、女读者都可以","A2NJTYYY37DNO","男性读者","No","no_agreement","2018-02-04 20:59:51 UTC"
"374UMBUHN54F1MB4EOJIDT9TIYDTCL","生肖守护神","十二生肖，象征着十二个月份，但是，没有人知道，他们也象征着十二位守护者。十二位传承着生肖血脉的守护者。他们拥有着自身属相的能力，默默的守卫着东方。  麒麟，东方的祥瑞，当拥有麒麟血脉的王者降临时，他将统御十二生肖为守护东方而贡献出自己全部的力量。  痞子麒麟，纵横人间，都市神话，十二生肖，尽在本书之中。","male","A8TIL9U6YHG5","女性读者","A2WGW5Y3ZFBDEC","男性读者","No","no_agreement","2018-02-04 21:08:25 UTC"
"3ZQX1VYFTDKXCRGJ1VHEHX7NTZBO8O","剑噬天下","乘风新书《无上真身》已经上传！  内容简介：“终有一天，不是我容不下这个世界，而是这个世界再也没资格容得下我！”  天道主杀！  炼体极限，支手破虚空！  期待大家支持！  ……  读者群：67687841（已满）  读者群：23584003（感谢书友公子提供！已满！）  读者群：45626688（感谢书友军之一士提供！已满！）  读者群：16481133（感谢书友枫行天下提供！）  读者群：52536655（感谢书友|▍12.冄9.號提供！）  VIP读者群1：65490188（需截图验证，谢谢大家配合！）  VIP读者群2：89476822（需截图验证，谢谢大家配合！）","male","A2NJTYYY37DNO","男性读者","A8TIL9U6YHG5","男性读者","Yes","男性读者","2018-02-04 21:00:42 UTC"
"3W3RSPVVGS6N43KZR62RL8LIVLYLUK","大汉帝国风云录","本书以“深入历史与跳出历史”的原则，描写了距今1800多年的错综复杂的历史进程和波澜壮阔的争霸战争。小说以豹子李弘以一介奴隶的身份救出鲜卑大帅，逃回大汉，由一个普通士卒开始，屡立奇功，成为将军，从而影响整个汉末历史为主要线索，多角度、多侧面、多层次地再现了东汉末年风云变幻的历史风貌和一群英雄人物改变天下命运的奋斗，揭示了历史运动的发展的规律。  李弘与朋友战友的情谊，与敌人的浴血厮杀，与几位佳人的感情纠缠，与整个大汉命运的关联，形成了一个巨大的漩涡，扭转着整个天下的局面。  本书还在汉末的社会生活场景上颇费笔墨与心思，从宫廷到战场，从都城到乡野，从大漠到中原，力求还历史以原貌；从政坛角逐到沙场交锋，从典章礼仪到人情风俗，力求展现大汉传统文化的深厚魅力。  纵横大漠——豹子谜一样的出身；白衣如雪——与伊人美丽的爱情；血路绵延——大汉子民艰险的回归；边疆酣战——大汉北疆血铸的长城；庙堂阴谋——士人与武人的矛盾；有我无敌——为大汉化作铁血钢刀；屯田塞外——救万民于水火之中；饮马黄河——为天下重整华夏江山；驰骋江山九万里，笑傲春秋一世名。  大汉天威，有我无夷，大家一起来华丽的战吧！  ＝＝血色珊瑚虫、古木山人、太乙于2006年9月14日＝＝  ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝  出版消息：  《大汉帝国风云》四、五两册即将于五月十号上市，请各位书友多多支持。因特殊原因，此次出版社改为中国戏剧出版社。  《大汉帝国风云》一、二、三册书店和网上有售，请大家多多支持。网络购书的地方：卓越等网站。  谢谢大家的厚爱，感激不尽。  ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝  ｍSN群号码：ｍgroup44445@hotｍail.  放纵书友的旧群17193445已满,请加新群８８６０６２２.另外，在黄龙骑士团论坛开了一个大汉的专区，大家搜索黄龙骑士团即可找到。进入论坛后在“骑士团迎客厅下面”就是大汉专区，发言自由。  ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝  推荐：金龙鱼的《惊雷逐鹿》  手札《刁奴》强盗夏侯元让《隋唐》八分银《通冥》  新秦淮八狼广告联盟：明辉《长风》《三千美娇娘》断空《游剑蛮巫》志旭扬《转生传奇》静官《血流》《兽血沸腾》暴风雨中《岁月辉煌》《天地》《虚实人生》神圣智狼《卑鄙在汉末》","male","A3GLMBZSG3VU4P","男、女读者都可以","A8TIL9U6YHG5","男性读者","No","no_agreement","2018-02-04 21:47:03 UTC"
"3H781YYV6TXUYKVIAFPD3H9W3AQTEE","韩警官","重活1996，记忆支离破碎，宛如庄周梦蝶。  挤牙膏似的想起一点是一点，处处抢占先机。  同样的起点，不一样的经历，且看韩博的警路人生。  新书《朝阳警事》上传，恳请各位书友支持！   书友群：457372140（欢迎加入）  VIP书友群： 580094506（订阅书友验证加入）","male","A2NJTYYY37DNO","男、女读者都可以","A8TIL9U6YHG5","男性读者","No","no_agreement","2018-02-04 21:01:19 UTC"
"3HA5ODM5KA7ALV4PG59XTG1W1MFSVU","平安的重生日子","重生后，她发誓，一定要将那些背叛出卖利用过她的人踩在脚下！  她不要再当软弱无能的菟丝花，这一次，她要当万丈光芒的女王！","female","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:36:44 UTC"
"35O6H0UNLSV0OY6KNKI6XHGASF0J5Y","清宫熹照","前世父母早丧寄人篱下，终凭化学天分夺回家产，  一朝重生钱氏嫡女，  国色倾城就必是红颜薄命？  人家上得了朝堂，勾得了情郎。  谁知沦为九龙夺嫡的路人甲不说，  还遇上了重生奋进的钮祜禄氏，  难道只能乖乖躺好被炮灰么？！雅蠛蝶~  这是个美人两度谋嫡，经济侵略渗透皇权的秘史故事。  雍正元年同日两条诏书：“封钱氏为熹妃”，继而再次下诏“封钮祜禄氏为熹妃”。  女强甜宠，从小修习媚功被坐实以色事君，全力将儿子拱上宝座，从而在史书中洗白，帝王之爱总有政治目的，这是护身符，表纠结~","female","A2NJTYYY37DNO","男性读者","A8TIL9U6YHG5","男性读者","Yes","男性读者","2018-02-04 21:02:18 UTC"
"3PUV2Q8SV4JPASN1EYN8X5LPXRPDBF","大丫鬟","回到西汉，为奴为婢做丫鬟，只为了好好的活下去  凭借算术、智慧和真诚，丫鬟也能弄风云  在权利和爱情的争夺中，看谁笑到最后……  ┉┉∞∞┉┉┉┉∞∞┉┉┉┉┉∞∞┉┉┉┉∞∞┉┉┉  已有完本VIP仙侠言情小说《重生之慧眼识夫》，坑品有保障，请放心收藏阅读。","female","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男、女读者都可以","No","no_agreement","2018-02-04 21:00:17 UTC"
"36FFXPMST93Q52HC4ZBKUA0MWI1OH3","乱世红颜梦","一个女学生，借尸还魂，到了一个类似古战国的地方。她拥有雌雄莫测的出色外表，同时，还有一个有着杀父之仇的末婚夫！风波稍定，她就被当世最有权势之人掳走！  战国，一个血腥，绮丽,灿烂如罂粟的年代。这里烽烟四起，女人如玩物，这里头颅当礼物，英雄如草芥！这里，有最强的男人，有锋利的宝剑，有灿烂的文化，也尽是美丽而薄命的女人！  拥有现代意识的女主，来到这样一个时代，不知不觉中，就成了各方势力游戏的对象。  当生命都不能保有的时候，她要如何保持自我本心？强者如云的年代，不甘被随意摆弄的女主，踏上了独抗天下的不归路。  喜欢本书的朋友,我们有了一个超级群了！以前的群会在半个月内废除。超级群的群号为：70559476，大伙儿手脚快一点哦。敲门砖：请写出任何一本林家成小说中男主名字。林家成2009.11。16","female","A8TIL9U6YHG5","男、女读者都可以","A2NJTYYY37DNO","男性读者","No","no_agreement","2018-02-04 20:59:58 UTC"
"3T5ZXGO9DE3FHZUMPY9VJMZR790QZ3","主神的黑店","楚河获得了一个残破的主神，开启了自己的黑店生涯。  “主神，我死后请把我的骨灰洒在海里。”  “为什么？”  “哪怕我死了也要浪起来。”  这是一个贸易诸天的故事，一个黑心商人的浪荡之路。  生死看淡，不服就干！！！  ------  ps：已有完本精品《超时空穿越》，人品保证，放心阅读。  qq群：627622873","male","A8TIL9U6YHG5","女性读者","A1X94LTZZQMHTP","男、女读者都可以","No","no_agreement","2018-02-04 21:08:29 UTC"
"31S7M7DAGG584Q5AR1CHGCZGC7RTL1","异界兽医","新书已经上传，书名《莲花宝鉴》书号181086以下是新书内容简介  《葵花宝典》大家都熟悉了，《莲花宝鉴》呢？  欲练此功，必先自宫！这是《葵花宝典》  若未成功，帮你自宫！这才是《莲花宝鉴》，  这是一个关于童子功的故事，一个可怜的男人，被人强迫学了一套阴毒的功法，神功大成之前不得近女色，不然《莲花宝鉴》便会‘咔嚓’一声帮他自宫！！  至于如何才算成功，这就要靠某位可怜的男人拼命去做善事，行善积德，积攒那么‘一点点’微不足道的仙家愿力。  于是，我们的主角誓要拼搏奋斗，做遍天下善事，助尽世间之人。  于是，他的仙家愿力每天都多了那么‘一点点’。  于是，某个混蛋加三级的家伙，有了个‘天下第一善人’的绰号，就是半夜踹寡妇门，也会被人当作是在做善事的那种……  ……………………  直通车在下面哦","male","A8TIL9U6YHG5","女性读者","A2R2YZTSME1K3F","男性读者","No","no_agreement","2018-02-04 21:28:34 UTC"
"3XBXDSS888YFL7EUWBDE5FKMP3FLXC","飞升之后","魔界，血族、天使族，人族四族林立的浩翰宇宙世界，在第一次神魔之战后，人类战败，在太古签订耻辱的《太古协议》。人类开始了屈辱的残苟政策，默默的休养生息……无数亿年后，一个默默无闻的人类高手飞升上来，望着苍凉的太古大地，望着残败的山河，他发出一声怒吼。浩大的第二次神魔之战，便在这名人类的怒吼声中，慢慢的拉开了画卷。人类注定胜利，这注定是一场惨烈的战争……","male","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:45:57 UTC"
"3IVEC1GSLPE10G51MXGUUR3TGZVJ1G","镇香令","明知他携风雨而来，她还是张开双臂拥抱。  思念太久，谁能与我共享孤独，唯你——  烈焰焚香，再入轮回。","female","A3GLMBZSG3VU4P","女性读者","A8TIL9U6YHG5","男、女读者都可以","No","no_agreement","2018-02-04 21:50:57 UTC"
"3R5OYNIC2COYVBK8JT5OXT80HHSTPZ","神藏","一念之间，沧海桑田  打眼带你进入古玩的世界！！！","male","A3GLMBZSG3VU4P","女性读者","A8TIL9U6YHG5","男、女读者都可以","No","no_agreement","2018-02-04 21:36:21 UTC"
"30Y6N4AHYPBCQZ4QAV9YXKQTFDSRD6","妻锦","毒舅母，伪亲妹，薄情郎，她的上辈子就葬送在这些人手里。  血淋淋的教训告诉她人善被人欺，那她这一世就做恶事驳好名。  重生以贵女身份归来，她就是喜欢仗势欺人，喜欢任性妄为，怎么着，看不惯？挑眉冷笑，也不看看现在伏低做小的是哪家人？  他们不要自己做妻子，她就偏做个人人赞颂的锦绣贤妻给他们瞧瞧！  .............  感谢《仙姿百媚》作者我叫李脸脸制作的精美封面~~书友群：209674991，欢迎来玩","female","A3GLMBZSG3VU4P","男、女读者都可以","A8TIL9U6YHG5","男性读者","No","no_agreement","2018-02-04 21:41:52 UTC"
"3UUIU9GZC5KU212PZEWAZN3JQHS5TQ","替嫁太子妃","新书【我的神君男友】已发。“薇儿，你想报仇不难!南国的太子妃你来当。”怡姝公主一把揽住凌采薇的肩。  “要我替嫁，那公主怎么办？”凌采薇觉得不可思议。  “我扮成你的样子装死啊！”怡姝公主又出一馊主意。  “装死？”  “我知道你要为你的秦哥哥守身如玉，不过南国太子是个病秧子，就快死了。我猜他根本就行不了房。万一他想把你‘那个’了，我把‘春眠’留给你，放他杯子里撂倒他完事，第二天他还以为自己当了回新郎官呢！哈哈。”怡姝公主说到此处，自己竟捧腹笑起来。","female","A1X94LTZZQMHTP","女性读者","A2NJTYYY37DNO","女性读者","Yes","女性读者","2018-02-04 21:00:17 UTC"
"3FTID4TN8LD4LC4417ZGOTRVR99YLV","长生界","世上谁人能不死？  任你风华绝代，艳冠天下，到头来也是红粉骷髅；任你一代天骄，坐拥万里江山，到头来也终将化成一抔黄土。  不过，关于长生不死的传说却始终流传于世。  故老相传，超脱于人世间之外，有一个浩大的长生界……","male","A2NJTYYY37DNO","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:11:36 UTC"
"3PKVGQTFIHZFOAZH6RWCA50UX1YYRL","电影教师","拍出最好的电影，教出最好的学生。  我是张然，电影导演，北电老师，我为中国电影代言！  （华娱小说，非喜勿入。）","male","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男、女读者都可以","No","no_agreement","2018-02-04 21:11:56 UTC"
"3XQ4XW3OD9R1O46NSVPMRB4L4ON2SX","地师","游方是个北漂，中关村卖过碟、潘家园练过摊。他出身江湖八大门，年纪轻轻就熟知各种江湖门槛，尤其精通地理风水，却从不信神异之说。  他平生第一次良心受震动为一位长者报仇，冒充风水师混入盗墓团伙寻机下手，不料却被“当代地师”刘黎盯上，吃了不少苦头，最终拜刘黎为师。  地师是自古对风水术士的尊称，但它还是一种称号与传承，号称地气宗师。据说历代地师秘传之学，不仅可以感应地气运转，勘察山川地理脉络，还可汇聚天地灵气相助修炼形神，甚至还有运转地气灵枢之妙，达到种种不可思议的神奇境界。  游方修为未成之时，行走江湖游刃有余，被尊为年轻一代风水奇人。得到真传之后，却接连遭遇凶险，不得不继续用江湖手段才能每每扭转乾坤。面对龙蛇混杂的江湖，他为何而来，浮游中能否找寻到答案？  ——请欣赏一代地气宗师的传奇故事！","male","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:48:58 UTC"
"304QEQWKZPZFU2BG6R4ZOI15A100OE","横行","一个曾经的绝顶盗贼在异时空的横行．投身到一个自己完全陌生的世界，去开创一个时代，这样的故事显得有点老套吧，希望能在老套里写出点新东西．主角生前是个贼，转生前没喝孟婆的洗脚水，所以多了一点不该有的记忆．  来到异时空能干点啥呢？唯一的选择可能还是继续做贼吧，那就做把，只不过这次要偷的是整个天下，难度比较大．ＹＹ小说里当然是不会失败的，所以大家能看的爽就行，看的不爽该丢点什么就丢吧，别客气","male","A3GLMBZSG3VU4P","男性读者","A8TIL9U6YHG5","男性读者","Yes","男性读者","2018-02-04 21:48:13 UTC"
"3M47JKRKCXG7NLAF1ZVK0XLW8ZI68I","狂探","一个打架不要命,无节操无底线的小痞子，意外穿越到平行空间，摇身变成了一名重案组探员。巨大的身份转换，让他把警局搞得鸡飞狗跳。然而，一个邪门的奇遇系统，却让他屡破奇案，成为了一名个性张狂的痞子神探！  PS：老旷出品，质量可靠，童叟无欺。书友群：194525098。全订群：12381865。","male","A3GLMBZSG3VU4P","男、女读者都可以","A8TIL9U6YHG5","男性读者","No","no_agreement","2018-02-04 21:45:41 UTC"
"31MCUE39BK1NJHTF1V9AL7QAMRSG31","玉琢","玉不琢，不成器。  她将用手里的刻刀，  雕刻出世间最美的幸福。  ——————————————————————————————————  泠水已有完结文：《知味记》、《良田千顷》、《穿越之茶言观色》，坑品有保证。","female","A3GLMBZSG3VU4P","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:16:22 UTC"
"34R3P23QHSGYABQEVL2UB4D8ZK0WHN","史上最强店主","商通万界，让所有人给我打工。  周阳意外获得万界商铺系统，交易万千位面。  “我曾举行一次小型拍卖会，来到的皇帝就有一百多位，听说还有两个叫李世民的皇帝。”  “我曾让神雕世界的所有人，帮我养殖菩斯曲蛇。”   “我曾发动海贼世界的所有人，出海帮我寻找恶魔果实。    ······   这是周阳获得万界商铺系统，成为史上最强店主的故事。  书友群！书友群！书友群在这里！！！！！：  476927380             VIP群：341118145 （需要全订截图验证）","male","A2NJTYYY37DNO","女性读者","A8TIL9U6YHG5","男、女读者都可以","No","no_agreement","2018-02-04 21:04:02 UTC"
"304QEQWKZPZFU2BG6R4ZOI15A1ZO01","重生之都市修仙","正式版：渡劫期大修士陈凡陨落在天劫中，却一梦五百年重回地球的年少时代。  上一世我登临宇宙之巅，俯瞰万界，却无人相伴。这一世只愿不负前尘不负卿。  通俗版：修行五百年的渡劫期修仙者重生回都市，弥补遗憾，扮猪吃老虎的故事。  真武仙宗：415550977已满修仙后援群：173822811已满北琼派:631784375 有空位VIP书友群：467647576 全订截图","male","A2R2YZTSME1K3F","男性读者","A8TIL9U6YHG5","男性读者","Yes","男性读者","2018-02-04 21:51:08 UTC"
"3ZQX1VYFTDKXCRGJ1VHEHX7NTZC8O9","惟我神尊","一部逆天神功《大光明神诀》，为陈默逆天转命，踏足无上尊道。  一枚意识海中的“光明种子”，竟然能长成“光明神树”，结出无数果实，瓜熟落地，幻化为一个个美若天仙，战力强横的光明天使，横扫寰宇。  一只玄龟战宠，吞天灭地，相助陈默一路成长，见证成神之路。  数位红颜知己，相知相爱，不离不弃。  且看《惟我神尊》，伴随兄弟姐妹们经历一个恢宏，庞大的世界。  (这是一部充满积极正能量的书，剧情结构严谨，逐步推进。世界经济，人物战力，各方面都经过统算考量，中后期绝不会崩坏~若是错过，就可惜了~)","male","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男、女读者都可以","No","no_agreement","2018-02-04 21:40:04 UTC"
"3QD8LUVX4XD1JIB94OX7OQOP3DG5X9","孺子帝","三位皇帝接连驾崩，从来没人注意过的皇子莫名其妙地继位，身陷重重危险之中。太后不喜欢他，时刻想要再立一名更年幼、更听话的新皇帝；同父异母的兄弟不喜欢他，认为他夺走了本属于自己的皇位；太监与宫女们也不喜欢他，觉得他不像真正的皇帝……孺子帝唯有自救。","male","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:43:51 UTC"
"3XABXM4AJ1K0X3TZG89I622N80TQ8Y","女配有毒","前世，穿越女PK本土女，本土女身败名裂，惨败。  今生，本土重生女PK穿越女，穿越女身败名裂，惨败。  其实这就是一个坏事做尽的恶毒女配，怀着一颗不甘的心和满腔的愤怒，以及誓要报仇的信念再次重生的人生逆转的故事。  ******  才发现还有完本满意度，打滚求投票~  另，粉嫩新书《夫贵逼人》打滚求收藏，求推荐票票~O(∩_∩)O~","female","A3GLMBZSG3VU4P","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:11:47 UTC"
"3RTFSSG7T8L0W794M6HS3W6FG19WLU","与子偕行","现代穿越女与本土重生女的双赢故事。  ——*——*——*——*——  现代都市女子齐意欣，重生于除旧布新的大齐世家。  旧时未尽，新朝将至，公侯将相于我如浮云。在强大的实力面前，一切魑魅魍魉的宅斗伎俩都是纸老虎。  此生与君携手，笑看世间风云。  ——*——*——*——*——  这是一个最好的时代，这是一个最坏的时代；这是一个讲信用的时代，又是一个欺骗的时代；这是一个光明的时代，又是一个黑暗的时代。——引自狄更斯《双城记》  ——*——*——*——*——  起点VIP书友群：229600548。需要验证粉丝值。","female","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男、女读者都可以","No","no_agreement","2018-02-04 21:11:24 UTC"
"33EEIIWHK7MY8FPCO1KSYGMVJYUQV3","光明纪元","文明的宿命，毁灭和复苏，无止尽的轮回  原罪的深渊，世界被崩毁，只有余烬残存  黑暗笼罩下，无边废墟中，唯有一人独行  将血罪消泯，撕破那黑幕，光芒笼罩大地  《光明纪元》简体版图书近期各大书店上市，敬请大家关注和支持下！！  血丝盟主群：187999419血丝正版群：6767886普通群：27310288（1000人）109041501（500人）113298136（200人）136116811（200人）13146178（200人）  再加一个45148179（2000人的新群噢~）","male","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","男性读者","No","no_agreement","2018-02-04 21:50:29 UTC"
